Complexity,Loss,Equation
1,5.4932403e-5,"-0.0044294144"
2,1.6427211e-5,"x"
4,1.2822799e-5,"x + -0.0018985503"
5,1.2799338e-5,"log(x + 0.99812335)"
6,1.19110855e-5,"(3.2443352 ^ x) + -1.0014774"
7,1.0570053e-5,"0.0024283477 - sqrt(x * -0.036112983)"
8,9.512647e-6,"cbrt((x * -0.04003751) * x)"
9,9.446674e-6,"exp(exp(x * 70.58988)) * x"
10,9.2850305e-6,"log(((x * -2.8212438) ^ x) ^ -0.46137828)"
12,9.273182e-6,"(log(0.9671237 - cbrt(x)) * cbrt(x)) * 0.44553813"
14,9.259622e-6,"cbrt(x) * ((-0.032452926 - cbrt(x)) * (x + 0.42297485))"
16,9.259001e-6,"(((-0.030307302 - cbrt(x)) * cbrt(x)) + 0.00016699123) * (x + 0.42033252)"
17,9.238646e-6,"(0.0021595687 - cbrt(exp(cbrt(x - -0.047569595)) * (x * x))) * 0.32958636"
18,7.920752e-6,"(x * exp(cbrt(cbrt(cbrt((x + 0.013192885) * (-0.013582273 - x)))))) / 0.39962453"
20,6.216665e-6,"((x + -0.0012861183) * exp(cbrt(cbrt(cbrt((-0.013582273 - x) * (x + 0.013192885)))))) / 0.43497875"
21,6.21665e-6,"(exp(cbrt(cbrt(cbrt(x + 0.013192885) * cbrt(-0.013582273 - x)))) / 0.43497875) * (x + -0.0012835487)"
22,5.084354e-6,"(exp(cbrt(cbrt(cbrt((x + 0.013205447) * (-0.013582273 - x))))) * cbrt(x * x)) * -0.6570055"
24,4.9459904e-6,"((cbrt(x * x) - 0.0013998797) * exp(cbrt(cbrt(cbrt((-0.013582273 - x) * (x + 0.013210892)))))) * -0.6827781"
25,4.784623e-6,"(x - (exp(cbrt(cbrt(cbrt((-0.013582273 - x) * (x + 0.013192886))))) * 0.6197888)) * cbrt(x * x)"
27,4.7405883e-6,"cbrt(x * (x - -0.00010709806)) * (x - (0.6237709 * exp(cbrt(cbrt(cbrt((0.013192886 + x) * (-0.013582273 - x)))))))"
28,4.6911164e-6,"cbrt(x * x) * (x - (exp(cbrt(cbrt(cbrt((-0.013582273 - x) * cbrt(x + 0.013192886))) / 1.657156)) * 0.59916425))"
29,4.6747155e-6,"cbrt(x * x) * (x - (exp(cbrt(cbrt(cbrt((-0.013582273 - x) * cbrt(cbrt(x + 0.013210892)))) / 1.9134102)) * 0.59634304))"
30,4.646139e-6,"(x - (exp(cbrt(cbrt(cbrt((-0.013582273 - x) * cbrt(x + 0.013192886))) / 1.7227787)) * 0.59916425)) * cbrt((x - -0.00010709806) * x)"
