Complexity,Loss,Equation
1,5.4932403e-5,"-0.0044294167"
2,1.6427211e-5,"a"
4,1.2822627e-5,"a + -0.0018978119"
5,1.2799338e-5,"log(a + 0.99812335)"
6,1.19110555e-5,"inv_power(0.30823404, a) + -1.0014771"
8,1.0983128e-5,"(1.1683872 ^ inv_power(0.0006238357, a)) + -1.169624"
9,1.0210421e-5,"((-0.0915897 - a) * a) * -20.042713"
10,9.633654e-6,"log(9.206314e-21 - a) * (-0.33859396 * a)"
12,9.285045e-6,"a * (log((4.4922426e-19 - a) * 2.8174698) * -0.46109408)"
13,9.2328055e-6,"a * (pow_int((a * 38.270206) + 1.1552587, -2.5513413) - -1.2005838)"
14,9.066096e-6,"a * (pow_int(log(2.969336 - (a * -52.427933)), -4.8558636) + 1.1271333)"
16,9.052302e-6,"(a * (pow_int(log(2.9499755 - (a * -52.04984)), 5.2782693) + 1.1270103)) - 0.0001348966"
18,9.044716e-6,"(a * ((pow_int(log(3.0000188 - (a * -53.252533)), -4.632755) * 0.88962656) + 1.1287727)) + -0.00018105659"
19,9.033319e-6,"(a + -0.00020655386) * (pow_int(log(2.8440874 - (a * -48.684002)), 2.8440874) + (0.077258505 ^ a))"
20,8.948959e-6,"((pow_int(log(1.6092641 - (a * -27.851261)) + 0.65822154, -2.6924493) + 1.4239198) * (a - 0.009541424)) + 0.02714215"
22,8.915192e-6,"(((a - 0.013578166) * (pow_int(log(1.6160161 - (a * -27.85117)) + 0.6418922, -2.754261) + 1.3810778)) + 0.037700664) * 1.2333249"
25,8.912064e-6,"(1.2291307 - a) * (((pow_int(log(1.616591 - (a * -27.851257)) + 0.64207065, 3.2058394) + 1.3338569) * (a - 0.012946998)) + 0.03534366)"
26,8.873648e-6,"a * ((pow_int(log(2.8390422 - (a * -48.682297)), 2.8390422) + pow_int(1.0209011 - (a * -27.346497), -24.360668)) + (0.05502724 ^ a))"
28,8.860724e-6,"((pow_int((a * -27.520357) - 1.0313952, -24.360668) + (pow_int(log(2.8420522 - (a * -48.682293)), 2.9520357) + (0.05220823 ^ a))) * a) - -0.00020792222"
30,8.855389e-6,"(a * ((inv_power(21.334951, a) + pow_int(log(1.618236 - (a * -27.851255)) + 0.575684, 3.425792)) + pow_int((a * -27.851255) - 1.0334824, -25.992489))) - -0.0002904033"
