Complexity,Loss,Equation
1,3.0755487e-9,"-5.6224103e-6"
4,1.9357649e-9,"Sij * -0.005089551"
6,1.164911e-10,"pow_int(Sij, 2.803185) * -2.1483781"
8,2.494784e-11,"pow_int(Sij, 2.803185) * log(Sij)"
10,8.491723e-12,"(Sij / Rij) * (0.0062580705 - Sij)"
12,1.5609212e-12,"(Sij / ((-1.3149005 / Sij) + 2.3258767)) / Rij"
13,7.916764e-13,"log(0.4947382 - Sij) * (pow_int(Sij, 2.066748) / Rij)"
14,5.5983343e-13,"log(exp(-0.69753635) - Sij) * (pow_int(Sij, 2.066748) / Rij)"
15,5.118755e-13,"log(0.4939929 - (Sij / 1.0614576)) * (pow_int(Sij, 1.6562899) / Rij)"
17,1.8305129e-13,"pow_int(0.00044664202 - Sij, 2.066748) * (((-0.73296285 - Sij) - Sij) / Rij)"
18,7.34715e-14,"Sij * (0.00014627774 + (((-0.73296285 - Sij) - Sij) * (Sij / Rij)))"
20,6.450627e-14,"((-0.73296005 - Sij) - Sij) * ((-0.00020123472 + ((Sij / Rij) * 1.0024788)) * Sij)"
22,5.759191e-14,"((-0.73296267 - (Sij + (Sij * 1.024758))) * (pow_int(Sij, 2.066748) / Rij)) + (Sij * 0.00015588063)"
24,5.3897503e-14,"((0.00015263475 / (Sij + 0.00015263475)) + (((-0.7329636 - Sij) - (Sij * 1.0247581)) / Rij)) * pow_int(Sij, 2.066748)"
25,1.5294557e-14,"(((pow_int((log(Sij) + 1.8865509) * 0.11682551, 1.674881) + -0.7326057) - Sij) - Sij) * (pow_int(Sij, 1.674881) / Rij)"
29,1.02314465e-14,"pow_int(Sij, 1.5933181) * ((pow_int(((log(Sij) + sqrt(Sij)) + 1.7693415) * 0.11433867, 1.674881) + ((-0.7301065 - Sij) - Sij)) / Rij)"
