Complexity,Loss,Equation
1,0.000110937784,"-0.0047756582"
2,5.664697e-5,"x"
4,4.796597e-5,"x * 1.4668688"
6,4.6763336e-5,"(x / 0.7197761) + -0.0012004783"
7,4.6465924e-5,"exp(x * 1.4280283) + -1.0011407"
8,4.543184e-5,"(-0.09546415 / (x - 0.2459721)) + -0.38905236"
9,1.1727635e-5,"(-4.2378542e-5 / (x - -0.028603459)) + x"
11,1.1311774e-5,"(-3.42912e-5 / (x - -0.02854467)) + (x / 0.8926471)"
13,1.1251448e-5,"((-3.356207e-5 / (x - -0.028539434)) + -0.00026448077) - (x * -1.1042527)"
14,1.107202e-5,"((-3.026562e-5 / (x - -0.028541042)) + x) / (0.86638 - x)"
16,1.0281088e-5,"(x / ((x * -6.242964) - -0.72048646)) + (-3.3432152e-5 / (x - -0.0285411))"
18,8.448616e-6,"((x / 0.03555836) + ((0.003192179 / ((x / -0.7728103) - 0.035760447)) + 2.1568043)) * x"
20,8.2718925e-6,"x * ((((-0.002940071 / (0.0359955 - (x / -0.7716121))) + 2.5981843) + (x / 0.029243108)) * 0.8273988)"
22,8.150859e-6,"((x * 0.8273988) + -0.00015245592) * ((x / 0.029243108) + ((-0.002940071 / (0.0359955 - (x / -0.7716121))) + 2.5824637))"
25,8.132743e-6,"((x * 0.8273988) + -0.00015853687) * ((((x / 0.029243108) + 2.5538638) + (-0.002940071 / (0.0359955 - (x / -0.7716121)))) - x)"
