File,SAPT Coulomb
A24-1,-0.017522170624
A24-10,-0.00550117624
A24-13,-0.00267011031
A24-14,-0.001363023186
A24-15,-0.0006702765719999999
A24-16,-0.002408597268
A24-17,-0.00057529682
A24-18,-0.00037529751
A24-19,-0.000326054652
A24-2,-0.012535733644
A24-23,-0.000888124426
A24-5,-0.00755216518
A24-7,-0.001512026656
A24-8,-0.001109796968
A24-9,-0.010416378406
S22-1,-0.0077918456280000005
S22-10,-0.001534177974
S22-11,-0.00404859161
S22-12,-0.006798064196
S22-16,-0.002824054002
S22-17,-0.0043263595759999995
S22-18,-0.0027751298680000003
S22-19,-0.006119819524
S22-2,-0.012910234344
S22-20,-0.0031880368100000002
S22-21,-0.00676810414
S22-22,-0.013653817436
S22-3,-0.051345798952
S22-4,-0.040412450217999996
S22-5,-0.047472664904000005
S22-6,-0.042882879942
S22-8,-0.00024031789599999998
S22-9,-0.001799834428
S22by7-1-0.7,-0.043746143896000005
S22by7-1-0.8,-0.02357203023
S22by7-1-0.9,-0.013481865837999998
S22by7-1-1.0,-0.008285549104000001
S22by7-1-1.2,-0.003820066502
S22by7-1-1.5,-0.0016463688219999998
S22by7-1-2.0,-0.0005737032
S22by7-10-0.8,-0.006556630766
S22by7-13-0.8,-0.07388962555800001
S22by7-15-1.5,-0.0024801508060000002
S22by7-17-0.7,-0.017089821518000002
S22by7-17-0.8,-0.010459246784
S22by7-18-1.2,-0.001696886576
S22by7-18-2.0,-0.000355536622
S22by7-2-0.7,-0.047576568927999996
S22by7-2-0.8,-0.030419177922000003
S22by7-2-0.9,-0.020187340712000002
S22by7-2-1.0,-0.014075170564000001
S22by7-2-1.2,-0.007763957278
S22by7-2-1.5,-0.0039287513860000005
S22by7-2-2.0,-0.0017327430259999998
S22by7-22-0.7,-0.049543892818
S22by7-22-0.8,-0.031782201108
S22by7-22-0.9,-0.021016819922
S22by7-22-1.0,-0.01449556752
S22by7-22-1.2,-0.007741965322
S22by7-22-1.5,-0.003744688276
S22by7-22-2.0,-0.001572424854
S22by7-3-0.7,-0.14596842071
S22by7-3-0.8,-0.10418242941400001
S22by7-3-0.9,-0.073926278818
S22by7-3-1.2,-0.02997758582
S22by7-3-1.5,-0.014708953238000002
S22by7-3-2.0,-0.0057472311679999995
S22by7-4-0.7,-0.128907284352
S22by7-4-0.8,-0.086100738808
S22by7-4-0.9,-0.058913422246
S22by7-4-1.0,-0.0418962698
S22by7-4-1.2,-0.023812188764
S22by7-4-1.5,-0.012429598552
S22by7-4-2.0,-0.005625000514
S22by7-5-0.7,-0.142082537702
S22by7-6-0.9,-0.06243643798
S22by7-6-1.0,-0.043876661373999995
S22by7-6-1.2,-0.023752587376
S22by7-8-0.7,-0.011852708112
S22by7-8-0.8,-0.0032215028300000004
S22by7-8-0.9,-0.000867407366
S22by7-8-1.0,-0.000222947438
S22by7-8-1.2,-5.57767e-06
S22by7-8-1.5,2.231068e-06
S22by7-8-2.0,3.1872400000000004e-07
S22by7-9-0.7,-0.034938365518
S22by7-9-0.8,-0.012783541554
S22by7-9-0.9,-0.0047166371140000005
S22by7-9-1.2,-0.000338325526
S22by7-9-1.5,-5.035839200000001e-05
S22by7-9-2.0,-5.57767e-06
