File,SAPT Coulomb
ACHC-AC-3.0_____,-11.1483
ACHC-AC-3.2_____,-5.5807
ACHC-AC-3.4_____,-2.6372
ACHC-AC-3.6_____,-1.1011
ACHC-AC-3.8_____,-0.3125
ACHC-AC-4.0_____,0.0827
ACHC-AC-4.4_____,0.3568
ACHC-AC-5.0_____,0.3804
ACHC-AC-3.4___30__,-1.8667
ACHC-AC-3.4___60__,-1.6087
ACHC-AC-3.4___90__,-3.9821
ACHC-AC-3.4___120__,-4.6142
ACHC-AC-3.4___150__,-5.0397
ACHC-AC-3.4___180__,-3.5749
ACHC-AC-3.4_n2.0____,-3.4418
ACHC-AC-3.4_n1.6____,-3.2686
ACHC-AC-3.4_n1.2____,-3.0860
ACHC-AC-3.4_n0.8____,-2.9389
ACHC-AC-3.4_n0.4____,-2.8105
ACHC-AC-3.4_0.4____,-2.3464
ACHC-AC-3.4_0.8____,-1.9075
ACHC-AC-3.4_1.2____,-1.3601
ACHC-AC-3.4_1.6____,-0.7859
ACHC-AC-3.4_2.0____,-0.2572
ACHC-AC-3.4__n2.0___,0.5043
ACHC-AC-3.4__n1.6___,-0.0676
ACHC-AC-3.4__n1.2___,-0.6574
ACHC-AC-3.4__n0.8___,-1.2457
ACHC-AC-3.4__n0.4___,-1.8909
ACHC-AC-3.4__0.4___,-3.4229
ACHC-AC-3.4__0.8___,-4.0740
ACHC-AC-3.4__1.2___,-4.4120
ACHC-AC-3.4__1.6___,-4.3818
ACHC-AC-3.4__2.0___,-4.0795
ACHC-AC-3.6____n20_,-6.5050
ACHC-AC-3.6____n16_,-4.4792
ACHC-AC-3.6____n12_,-3.0837
ACHC-AC-3.6____n8_,-2.1318
ACHC-AC-3.6____n4_,-1.4972
ACHC-AC-3.6____4_,-0.9018
ACHC-AC-3.6____8_,-0.8909
ACHC-AC-3.6____12_,-1.0935
ACHC-AC-3.6____16_,-1.5752
ACHC-AC-3.6____20_,-2.4526
ACHC-AC-3.6_____n20,-4.0502
ACHC-AC-3.6_____n16,-2.9317
ACHC-AC-3.6_____n12,-2.1510
ACHC-AC-3.6_____n8,-1.6215
ACHC-AC-3.6_____n4,-1.2846
ACHC-AC-3.6_____4,-1.0458
ACHC-AC-3.6_____8,-1.1042
ACHC-AC-3.6_____12,-1.2707
ACHC-AC-3.6_____16,-1.5473
ACHC-AC-3.6_____20,-1.9429
