File,SAPT Coulomb,Undamped Coulomb
ACHC-AC-3.2_____,-0.008893515134,-0.001082499
ACHC-AC-3.6_____,-0.001754734982,-0.0004096819
ACHC-AC-3.8_____,-0.00049800625,-0.0001931919
ACHC-AC-4.0_____,0.00013179237399999998,-3.365839999999982e-05
ACHC-AC-3.4___30__,-0.002974810454,0.0006398699
ACHC-AC-3.4___60__,-0.002563656494,0.0024165809
ACHC-AC-3.4___90__,-0.006345954202,-0.000731185
ACHC-AC-3.4___120__,-0.007353281404000001,-0.0015769892999999
ACHC-AC-3.4___150__,-0.008031366714,-0.0024069608
ACHC-AC-3.4___180__,-0.005697032138,0.000307869
ACHC-AC-3.4_n1.6____,-0.0052089063320000005,-7.001280000000845e-05
ACHC-AC-3.4_n1.2____,-0.00491791132,-6.43345000000072e-05
ACHC-AC-3.4_n0.4____,-0.004478869010000001,-0.0009504350999999
ACHC-AC-3.4_0.4____,-0.003739269968,0.0003114106999999
ACHC-AC-3.4_0.8____,-0.00303983015,0.0016085327999999
ACHC-AC-3.4_1.2____,-0.002167482562,0.0025947120999999
ACHC-AC-3.4_2.0____,-0.000409879064,0.0030115379
ACHC-AC-3.4__n1.2___,-0.001047645788,0.0018909256
ACHC-AC-3.4__n0.8___,-0.001985172434,0.0009685486
ACHC-AC-3.4__n0.4___,-0.003013376058,0.0002199851
ACHC-AC-3.4__0.4___,-0.0054548018979999995,-0.0020085561999999
ACHC-AC-3.4__0.8___,-0.0064924078799999995,-0.0033757057
ACHC-AC-3.4__1.2___,-0.00703105144,-0.0041092634
ACHC-AC-3.4__2.0___,-0.006501172790000001,-0.0028723576999999
ACHC-AC-3.6____n20_,-0.0103664981,-0.0030714544
ACHC-AC-3.6____n12_,-0.004914245994,-0.0015424122999999
ACHC-AC-3.6____4_,-0.001437126516,-0.0002604102
ACHC-AC-3.6_____n20,-0.0064544797240000005,-0.0012894486999999
ACHC-AC-3.6_____n16,-0.004672015754,-0.0010368284999999
ACHC-AC-3.6_____n12,-0.0034278766199999995,-0.0008493748
ACHC-AC-3.6_____n8,-0.00258405483,-0.0007009466999999
ACHC-AC-3.6_____n4,-0.002047164252,-0.0005636119
ACHC-AC-3.6_____4,-0.0016666077960000001,-0.0002128339999999
ACHC-AC-3.6_____12,-0.002025012934,0.0036360815
