File,Overlap Pen. Energy * 2
A24-1,-0.0042032126
A24-10,-0.0013772806
A24-13,-0.0008062912
A24-14,-0.0007117046
A24-15,-0.0003503954
A24-16,-0.0013931188
A24-17,-0.0003711544
A24-18,-0.0002461152
A24-19,-0.0002158758
A24-2,-0.0023118202
A24-23,-0.0017647662
A24-5,-0.0013119464
A24-7,-0.0006098568
A24-8,-0.0003137506
A24-9,-0.0022501756
ACHC-AC-3.2_____,-0.004075868
ACHC-AC-3.4_0.4____,-0.0022145858
ACHC-AC-3.4_0.8____,-0.0022711648
ACHC-AC-3.4_1.2____,-0.0021170436
ACHC-AC-3.4_2.0____,-0.001391901
ACHC-AC-3.4_n0.4____,-0.0020527252
ACHC-AC-3.4_n1.2____,-0.0020704534
ACHC-AC-3.4_n1.6____,-0.0018958076
ACHC-AC-3.4__0.4___,-0.0021236788
ACHC-AC-3.4__0.8___,-0.0020405708
ACHC-AC-3.4__1.2___,-0.0019497524
ACHC-AC-3.4__2.0___,-0.0018209858
ACHC-AC-3.4__n0.4___,-0.0019043014
ACHC-AC-3.4__n0.8___,-0.0016617184
ACHC-AC-3.4__n1.2___,-0.0014691602
ACHC-AC-3.4___120__,-0.002414482
ACHC-AC-3.4___150__,-0.002075047
ACHC-AC-3.4___180__,-0.0020276026
ACHC-AC-3.4___30__,-0.0020177672
ACHC-AC-3.4___60__,-0.002271117
ACHC-AC-3.4___90__,-0.0022089128
ACHC-AC-3.6____4_,-0.001027068
ACHC-AC-3.6____n12_,-0.001966832
ACHC-AC-3.6____n20_,-0.0037625526
ACHC-AC-3.6_____,-0.0010749358
ACHC-AC-3.6_____4,-0.0010731134
ACHC-AC-3.6_____n12,-0.0016873114
ACHC-AC-3.6_____n16,-0.0021991468
ACHC-AC-3.6_____n20,-0.0029827928
ACHC-AC-3.6_____n4,-0.0011655608
ACHC-AC-3.6_____n8,-0.0013599498
ACHC-AC-3.8_____,-0.0005571632
ACHC-AC-4.0_____,-0.0002920284
S22-1,-0.0014027336
S22-10,-0.000877244
S22-11,-0.0026848726
S22-12,-0.0026199178
S22-16,-0.0007777694
S22-17,-0.0008680656
S22-18,-0.0008349334
S22-19,-0.0013957472
S22-2,-0.0024478012
S22-20,-0.0015259902
S22-21,-0.002025807
S22-22,-0.0028585676
S22-3,-0.012808528
S22-4,-0.0095308
S22-5,-0.0109545104
S22-6,-0.0121529734
S22-8,-0.0001607394
S22-9,-0.0007327952
S22by7-1-0.7,-0.0228812124
S22by7-1-0.8,-0.0090644544
S22by7-1-0.9,-0.0035615508
S22by7-1-1.0,-0.0014027336
S22by7-1-1.2,-0.000228301
S22by7-1-1.5,-1.79916e-05
S22by7-1-2.0,-3.312e-07
S22by7-10-0.8,-0.0044612052
S22by7-13-0.8,-0.0264249022
S22by7-15-1.5,-2.45212e-05
S22by7-17-0.7,-0.0090866386
S22by7-17-0.8,-0.0042461322
S22by7-18-1.2,-0.0001547156
S22by7-18-2.0,-2.068e-07
S22by7-2-0.7,-0.0254123124
S22by7-2-0.8,-0.0116129002
S22by7-2-0.9,-0.0053159612
S22by7-2-1.0,-0.0024478012
S22by7-2-1.2,-0.0005375196
S22by7-2-1.5,-6.19756e-05
S22by7-2-2.0,-1.8792e-06
S22by7-22-0.7,-0.0231230746
S22by7-22-0.8,-0.0113034874
S22by7-22-0.9,-0.0056218632
S22by7-22-1.0,-0.0028585676
S22by7-22-1.2,-0.000796114
S22by7-22-1.5,-0.000136429
S22by7-22-2.0,-8.662e-06
S22by7-3-0.7,-0.0961322784
S22by7-3-0.8,-0.0489691852
S22by7-3-0.9,-0.0249885486
S22by7-3-1.2,-0.003451629
S22by7-3-1.5,-0.000534237
S22by7-3-2.0,-2.99714e-05
S22by7-4-0.7,-0.083734171
S22by7-4-0.8,-0.0404686492
S22by7-4-0.9,-0.019600745
S22by7-4-1.0,-0.0095308
S22by7-4-1.2,-0.0023134274
S22by7-4-1.5,-0.0003075016
S22by7-4-2.0,-1.27414e-05
S22by7-5-0.7,-0.0920529272
S22by7-6-0.9,-0.0240587112
S22by7-6-1.0,-0.0121529526
S22by7-6-1.2,-0.0031526392
S22by7-8-0.7,-0.0095637358
S22by7-8-0.8,-0.00249834
S22by7-8-0.9,-0.000637329
S22by7-8-1.0,-0.0001607394
S22by7-8-1.2,-1.07674e-05
S22by7-8-1.5,-2.834e-07
S22by7-8-2.0,-1.2e-09
S22by7-9-0.7,-0.0271645482
S22by7-9-0.8,-0.0085636392
S22by7-9-0.9,-0.0025555618
S22by7-9-1.2,-5.87012e-05
S22by7-9-1.5,-1.7824e-06
S22by7-9-2.0,-1.42e-08
