File,SAPT Coulomb
HBC1-FaOOFaOO-3.4,-64.1477
HBC1-FaOOFaOO-3.5,-54.7215
HBC1-FaOOFaOO-3.6,-46.3004
HBC1-FaOOFaOO-3.7,-38.8446
HBC1-FaOOFaOO-3.8,-32.3404
HBC1-FaOOFaOO-3.9,-26.7808
HBC1-FaOOFaOO-4.0,-22.1358
HBC1-FaOOFaOO-4.1,-18.3327
HBC1-FaOOFaOO-4.2,-15.2633
HBC1-FaOOFaOO-4.3,-12.8012
HBC1-FaOOFaOO-4.4,-10.8272
HBC1-FaOOFaOO-4.6,-7.9407
HBC1-FaOOFaOO-4.8,-6.0030
HBC1-FaOOFaOO-5.0,-4.6554
HBC1-FaOOFaOO-5.4,-2.9656
HBC1-FaOOFaOO-5.8,-1.9884
HBC1-FaOOFaOO-6.4,-1.1661
HBC1-FaOOFaOO-7.0,-0.7288
HBC1-FaOOFaOO-8.0,-0.3720
HBC1-FaOOFaOO-10.0,-0.1302
HBC1-FaONFaON-3.4,-52.1042
HBC1-FaONFaON-3.5,-50.2892
HBC1-FaONFaON-3.6,-46.4649
HBC1-FaONFaON-3.7,-41.7727
HBC1-FaONFaON-3.8,-36.7899
HBC1-FaONFaON-3.9,-31.8843
HBC1-FaONFaON-4.0,-27.3138
HBC1-FaONFaON-4.1,-23.2359
HBC1-FaONFaON-4.2,-19.7235
HBC1-FaONFaON-4.3,-16.7741
HBC1-FaONFaON-4.4,-14.3370
HBC1-FaONFaON-4.6,-10.6975
HBC1-FaONFaON-4.8,-8.2231
HBC1-FaONFaON-5.0,-6.4954
HBC1-FaONFaON-5.4,-4.3289
HBC1-FaONFaON-5.8,-3.0684
HBC1-FaONFaON-6.4,-1.9699
HBC1-FaONFaON-7.0,-1.3449
HBC1-FaONFaON-8.0,-0.7826
HBC1-FaONFaON-10.0,-0.3340
HBC1-FaNNFaNN-3.4,-72.5427
HBC1-FaNNFaNN-3.5,-67.0366
HBC1-FaNNFaNN-3.6,-61.1923
HBC1-FaNNFaNN-3.7,-55.1763
HBC1-FaNNFaNN-3.8,-49.1404
HBC1-FaNNFaNN-3.9,-43.2330
HBC1-FaNNFaNN-4.0,-37.5930
HBC1-FaNNFaNN-4.1,-32.3463
HBC1-FaNNFaNN-4.2,-27.5956
HBC1-FaNNFaNN-4.3,-23.4032
HBC1-FaNNFaNN-4.4,-19.7907
HBC1-FaNNFaNN-4.6,-14.1725
HBC1-FaNNFaNN-4.8,-10.2838
HBC1-FaNNFaNN-5.0,-7.6106
HBC1-FaNNFaNN-5.4,-4.4348
HBC1-FaNNFaNN-5.8,-2.7691
HBC1-FaNNFaNN-6.4,-1.4904
HBC1-FaNNFaNN-7.0,-0.8626
HBC1-FaNNFaNN-8.0,-0.3883
HBC1-FaNNFaNN-10.0,-0.1028
HBC1-FaOOFaON-3.4,-59.4274
HBC1-FaOOFaON-3.5,-53.6298
HBC1-FaOOFaON-3.6,-47.2779
HBC1-FaOOFaON-3.7,-40.9512
HBC1-FaOOFaON-3.8,-34.9819
HBC1-FaOOFaON-3.9,-29.5708
HBC1-FaOOFaON-4.0,-24.8334
HBC1-FaOOFaON-4.1,-20.8123
HBC1-FaOOFaON-4.2,-17.4826
HBC1-FaOOFaON-4.3,-14.7671
HBC1-FaOOFaON-4.4,-12.5654
HBC1-FaOOFaON-4.6,-9.3176
HBC1-FaOOFaON-4.8,-7.1205
HBC1-FaOOFaON-5.0,-5.5872
HBC1-FaOOFaON-5.4,-3.6614
HBC1-FaOOFaON-5.8,-2.5399
HBC1-FaOOFaON-6.4,-1.5724
HBC1-FaOOFaON-7.0,-1.0350
HBC1-FaOOFaON-8.0,-0.5697
HBC1-FaOOFaON-10.0,-0.2224
HBC1-FaONFaNN-3.4,-63.0964
HBC1-FaONFaNN-3.5,-59.1529
HBC1-FaONFaNN-3.6,-54.2172
HBC1-FaONFaNN-3.7,-48.7953
HBC1-FaONFaNN-3.8,-43.2240
HBC1-FaONFaNN-3.9,-37.7616
HBC1-FaONFaNN-4.0,-32.6087
HBC1-FaONFaNN-4.1,-27.9150
HBC1-FaONFaNN-4.2,-23.7730
HBC1-FaONFaNN-4.3,-20.2094
HBC1-FaONFaNN-4.4,-17.1998
HBC1-FaONFaNN-4.6,-12.5946
HBC1-FaONFaNN-4.8,-9.4116
HBC1-FaONFaNN-5.0,-7.1953
HBC1-FaONFaNN-5.4,-4.4857
HBC1-FaONFaNN-5.8,-2.9981
HBC1-FaONFaNN-6.4,-1.7882
HBC1-FaONFaNN-7.0,-1.1465
HBC1-FaONFaNN-8.0,-0.6108
HBC1-FaONFaNN-10.0,-0.2271
HBC1-FaOOFaNN-3.6,-63.7675
HBC1-FaOOFaNN-3.7,-53.7870
HBC1-FaOOFaNN-3.8,-45.7778
HBC1-FaOOFaNN-3.9,-38.8359
HBC1-FaOOFaNN-4.0,-32.7947
HBC1-FaOOFaNN-4.1,-27.5912
HBC1-FaOOFaNN-4.2,-23.1754
HBC1-FaOOFaNN-4.3,-19.4816
HBC1-FaOOFaNN-4.4,-16.4298
HBC1-FaOOFaNN-4.6,-11.8814
HBC1-FaOOFaNN-4.8,-8.8297
HBC1-FaOOFaNN-5.0,-6.7435
HBC1-FaOOFaNN-5.4,-4.2105
HBC1-FaOOFaNN-5.8,-2.8088
HBC1-FaOOFaNN-6.4,-1.6586
HBC1-FaOOFaNN-7.0,-1.0488
HBC1-FaOOFaNN-8.0,-0.5447
HBC1-FaOOFaNN-10.0,-0.1931
