File,SAPT Coulomb,Undamped Coulomb
HBC1-FaOOFaOO-3.4,-0.102227057674,-0.0795728526
HBC1-FaOOFaOO-3.5,-0.08720527683,-0.0687800938999999
HBC1-FaOOFaOO-3.6,-0.07378524344800001,-0.0593069704
HBC1-FaOOFaOO-3.7,-0.061903531452,-0.0510042805
HBC1-FaOOFaOO-3.8,-0.05153830824800001,-0.0437291977
HBC1-FaOOFaOO-3.9,-0.042678418496,-0.0374182621
HBC1-FaOOFaOO-4.0,-0.035276053596,-0.0320176012
HBC1-FaOOFaOO-4.1,-0.029215357374,-0.0274523357
HBC1-FaOOFaOO-4.2,-0.024323900146,-0.0236235002
HBC1-FaOOFaOO-4.3,-0.020400248344,-0.0204201805
HBC1-FaOOFaOO-4.4,-0.017254442464,-0.0177379256
HBC1-FaOOFaOO-4.6,-0.012654458334,-0.0135799107
HBC1-FaOOFaOO-4.8,-0.00956650086,-0.0105827971
HBC1-FaOOFaOO-5.0,-0.007418938548,-0.0083777944999999
HBC1-FaOOFaOO-5.4,-0.0047260394719999994,-0.0054598642999999
HBC1-FaOOFaOO-5.8,-0.003168754008,-0.0037068837
HBC1-FaOOFaOO-6.4,-0.0018583202819999999,-0.0022019111
HBC1-FaOOFaOO-7.0,-0.001161430256,-0.0013880971
HBC1-FaOOFaOO-8.0,-0.00059282664,-0.0007156971
HBC1-FaOOFaOO-10.0,-0.00020748932400000003,-0.0002534951999999
HBC1-FaONFaON-3.4,-0.083034295204,-0.0526529394
HBC1-FaONFaON-3.5,-0.080141874904,-0.0536571389999999
HBC1-FaONFaON-3.6,-0.074047393938,-0.0518485889999999
HBC1-FaONFaON-3.7,-0.066569810174,-0.0484594495999999
HBC1-FaONFaON-3.8,-0.058629120438000004,-0.0443170044999999
HBC1-FaONFaON-3.9,-0.050811458166,-0.039932192
HBC1-FaONFaON-4.0,-0.043527817956000005,-0.0356075716
HBC1-FaONFaON-4.1,-0.037029194958,-0.0315405998999999
HBC1-FaONFaON-4.2,-0.03143176407,-0.0278526601
HBC1-FaONFaON-4.3,-0.026731541242,-0.0245816092
HBC1-FaONFaON-4.4,-0.02284772994,-0.0217257123
HBC1-FaONFaON-4.6,-0.01704774995,-0.0171174658
HBC1-FaONFaON-4.8,-0.013104496622,-0.013676568
HBC1-FaONFaON-5.0,-0.010351199348,-0.0110815829
HBC1-FaONFaON-5.4,-0.006898621618,-0.0075791326
HBC1-FaONFaON-5.8,-0.004889863608,-0.0054280831
HBC1-FaONFaON-6.4,-0.003139272038,-0.0035068527
HBC1-FaONFaON-7.0,-0.002143259538,-0.0023983856999999
HBC1-FaONFaON-8.0,-0.001247167012,-0.0013949957
HBC1-FaONFaON-10.0,-0.00053226908,-0.0005929848
HBC1-FaNNFaNN-3.7,-0.087930055206,-0.0617867989999999
HBC1-FaNNFaNN-3.9,-0.06889697346,-0.0503593305999999
HBC1-FaNNFaNN-10.0,-0.000163824136,-0.0001669192
HBC1-FaOOFaON-3.4,-0.094704693188,-0.0689020207
HBC1-FaOOFaON-3.5,-0.08546552187600001,-0.0640024817
HBC1-FaOOFaON-3.6,-0.075343006998,-0.0579509887
HBC1-FaOOFaON-3.7,-0.065260651344,-0.0516114327999999
HBC1-FaOOFaON-3.8,-0.05574785547800001,-0.0454540763
HBC1-FaOOFaON-3.9,-0.047124618295999995,-0.0397255022
HBC1-FaOOFaON-4.0,-0.039575002908,-0.034551649
HBC1-FaOOFaON-4.1,-0.033166897526,-0.029998744
HBC1-FaOOFaON-4.2,-0.027860621012000004,-0.0260708874
HBC1-FaOOFaON-4.3,-0.023533145901999997,-0.0227240112
HBC1-FaOOFaON-4.4,-0.020024472748,-0.0198879748
HBC1-FaOOFaON-4.6,-0.014848713712000002,-0.0154415044
HBC1-FaOOFaON-4.8,-0.01134737121,-0.0121973208
HBC1-FaOOFaON-5.0,-0.008903873664,-0.0097878224
