File,Undamped Coulomb
HBC1-FaNNFaNN-10.0,-0.0001669192
HBC1-FaNNFaNN-3.7,-0.061786798999999996
HBC1-FaNNFaNN-3.9,-0.050359330599999995
HBC1-FaONFaNN-10.0,-0.0003921765000000001
HBC1-FaONFaNN-3.7,-0.055688548100000006
HBC1-FaONFaNN-3.8,-0.050670062999999994
HBC1-FaONFaNN-4.0,-0.04057410300000001
HBC1-FaONFaNN-4.1,-0.035880188099999995
HBC1-FaONFaNN-4.2,-0.0315880847
HBC1-FaONFaNN-4.3,-0.027750287499999998
HBC1-FaONFaNN-4.6,-0.018864556699999997
HBC1-FaONFaNN-4.8,-0.014740953599999999
HBC1-FaONFaNN-5.0,-0.011651387699999998
HBC1-FaONFaNN-5.4,-0.007557243300000001
HBC1-FaONFaNN-5.8,-0.0051415051
HBC1-FaONFaNN-6.4,-0.0030999248
HBC1-FaONFaNN-7.0,-0.0019943961
HBC1-FaONFaNN-8.0,-0.001061871
HBC1-FaONFaON-10.0,-0.0005929848
HBC1-FaONFaON-3.4,-0.05265293940000001
HBC1-FaONFaON-3.5,-0.053657138999999986
HBC1-FaONFaON-3.6,-0.05184858899999999
HBC1-FaONFaON-3.7,-0.048459449599999996
HBC1-FaONFaON-3.8,-0.04431700449999999
HBC1-FaONFaON-3.9,-0.039932192000000005
HBC1-FaONFaON-4.0,-0.0356075716
HBC1-FaONFaON-4.1,-0.031540599899999994
HBC1-FaONFaON-4.2,-0.027852660100000003
HBC1-FaONFaON-4.3,-0.0245816092
HBC1-FaONFaON-4.4,-0.0217257123
HBC1-FaONFaON-4.6,-0.0171174658
HBC1-FaONFaON-4.8,-0.013676568000000002
HBC1-FaONFaON-5.0,-0.0110815829
HBC1-FaONFaON-5.4,-0.007579132600000001
HBC1-FaONFaON-5.8,-0.005428083100000001
HBC1-FaONFaON-6.4,-0.0035068527000000006
HBC1-FaONFaON-7.0,-0.0023983856999999996
HBC1-FaONFaON-8.0,-0.0013949957
HBC1-FaOOFaNN-3.6,-0.0845997256
HBC1-FaOOFaNN-3.8,-0.06017689049999999
HBC1-FaOOFaNN-4.0,-0.044723018600000004
HBC1-FaOOFaNN-4.2,-0.0332021263
HBC1-FaOOFaNN-4.4,-0.0247839527
HBC1-FaOOFaNN-4.6,-0.0187539766
HBC1-FaOOFaNN-5.0,-0.011321653999999999
HBC1-FaOOFaNN-5.8,-0.0049308586
HBC1-FaOOFaNN-6.4,-0.0029413270000000005
HBC1-FaOOFaNN-7.0,-0.0018684985
HBC1-FaOOFaON-10.0,-0.00041016749999999997
HBC1-FaOOFaON-3.4,-0.06890202070000001
HBC1-FaOOFaON-3.5,-0.0640024817
HBC1-FaOOFaON-3.6,-0.0579509887
HBC1-FaOOFaON-3.7,-0.051611432799999996
HBC1-FaOOFaON-3.8,-0.04545407630000001
HBC1-FaOOFaON-3.9,-0.0397255022
HBC1-FaOOFaON-4.0,-0.034551649
HBC1-FaOOFaON-4.1,-0.029998744
HBC1-FaOOFaON-4.2,-0.0260708874
HBC1-FaOOFaON-4.3,-0.0227240112
HBC1-FaOOFaON-4.4,-0.0198879748
HBC1-FaOOFaON-4.6,-0.0154415044
HBC1-FaOOFaON-4.8,-0.0121973208
HBC1-FaOOFaON-5.0,-0.0097878224
HBC1-FaOOFaON-5.4,-0.0065691422
HBC1-FaOOFaON-5.8,-0.0046068747
HBC1-FaOOFaON-6.4,-0.0028764319000000003
HBC1-FaOOFaON-7.0,-0.0019011348999999997
HBC1-FaOOFaON-8.0,-0.0010494965999999998
HBC1-FaOOFaOO-10.0,-0.00025349519999999997
HBC1-FaOOFaOO-3.4,-0.07957285260000001
HBC1-FaOOFaOO-3.5,-0.06878009389999999
HBC1-FaOOFaOO-3.6,-0.0593069704
HBC1-FaOOFaOO-3.7,-0.0510042805
HBC1-FaOOFaOO-3.8,-0.0437291977
HBC1-FaOOFaOO-3.9,-0.03741826210000001
HBC1-FaOOFaOO-4.0,-0.03201760120000001
HBC1-FaOOFaOO-4.1,-0.0274523357
HBC1-FaOOFaOO-4.2,-0.0236235002
HBC1-FaOOFaOO-4.3,-0.0204201805
HBC1-FaOOFaOO-4.4,-0.017737925600000003
HBC1-FaOOFaOO-4.6,-0.013579910700000001
HBC1-FaOOFaOO-4.8,-0.010582797100000001
HBC1-FaOOFaOO-5.0,-0.008377794499999997
HBC1-FaOOFaOO-5.4,-0.005459864299999998
HBC1-FaOOFaOO-5.8,-0.0037068837
HBC1-FaOOFaOO-6.4,-0.0022019111
HBC1-FaOOFaOO-7.0,-0.0013880971
HBC1-FaOOFaOO-8.0,-0.0007156971000000002
