File,SAPT Coulomb
JSCH-1,-44.9906
JSCH-2,-47.7867
JSCH-3,-27.4781
JSCH-4,-30.3396
JSCH-5,-49.7244
JSCH-6,-39.0075
JSCH-7,-31.5142
JSCH-8,-67.8059
JSCH-9,-15.9574
JSCH-10,-23.3028
JSCH-11,-43.6713
JSCH-12,-19.3239
JSCH-13,-36.7168
JSCH-14,-35.3670
JSCH-15,-8.1970
JSCH-16,-27.6660
JSCH-17,-25.7838
JSCH-18,-28.5689
JSCH-19,-28.6646
JSCH-20,-30.2359
JSCH-21,-31.8144
JSCH-22,-32.1047
JSCH-23,-28.6136
JSCH-24,-20.9693
JSCH-25,-20.9704
JSCH-26,-29.9830
JSCH-27,-23.7981
JSCH-28,-25.2111
JSCH-29,-22.6770
JSCH-30,-19.2861
JSCH-31,-36.7787
JSCH-32,-20.9686
JSCH-33,-27.7418
JSCH-34,-52.1949
JSCH-35,-28.6739
JSCH-36,-26.0461
JSCH-37,-51.9777
JSCH-38,-51.1830
JSCH-39,-2.1524
JSCH-40,-4.2503
JSCH-41,-2.1493
JSCH-42,-1.8237
JSCH-43,4.6233
JSCH-44,6.3063
JSCH-45,-1.1455
JSCH-46,2.5020
JSCH-47,1.5015
JSCH-48,2.4694
JSCH-49,0.7323
JSCH-50,0.9716
JSCH-51,-2.6010
JSCH-52,-0.6071
JSCH-53,1.1910
JSCH-54,-2.4389
JSCH-55,2.0123
JSCH-56,0.0671
JSCH-57,-1.4114
JSCH-58,1.5858
JSCH-59,-0.6511
JSCH-60,-0.2507
JSCH-61,-0.2429
JSCH-62,2.2783
JSCH-63,-1.2840
JSCH-64,2.8796
JSCH-65,-2.6501
JSCH-66,0.9221
JSCH-67,-1.3628
JSCH-68,-4.6715
JSCH-69,5.4260
JSCH-70,4.6248
JSCH-71,-21.5759
JSCH-72,-24.7758
JSCH-73,-11.5015
JSCH-74,-16.4028
JSCH-75,5.9101
JSCH-76,-1.9810
JSCH-77,-7.0681
JSCH-78,-7.9353
JSCH-79,3.7522
JSCH-80,3.9097
JSCH-81,2.2481
JSCH-82,-5.7814
JSCH-83,-9.0908
JSCH-84,-6.7018
JSCH-85,-8.3813
JSCH-86,-4.8154
JSCH-87,-6.4203
JSCH-88,-7.9447
JSCH-89,-5.3025
JSCH-90,-9.2960
JSCH-91,-7.9284
JSCH-92,-7.9738
JSCH-93,-9.7555
JSCH-94,-7.6121
JSCH-95,-8.9129
JSCH-96,-8.8791
JSCH-97,-6.8523
JSCH-98,-9.7523
JSCH-99,2.4980
JSCH-100,2.1173
JSCH-101,-3.7064
JSCH-102,-0.6961
JSCH-103,-9.1406
JSCH-104,-5.3141
JSCH-105,-6.1383
JSCH-106,-1.8380
JSCH-107,-2.9307
JSCH-108,-2.7416
JSCH-109,-2.8248
JSCH-110,-2.6077
JSCH-111,-1.6873
JSCH-112,-2.5422
JSCH-113,-3.2807
JSCH-114,-5.8021
JSCH-115,-3.8425
JSCH-116,-2.6048
JSCH-117,-3.3241
JSCH-118,-3.9779
JSCH-119,-1.0672
JSCH-120,0.1649
JSCH-121,-6.6603
JSCH-122,-4.4334
JSCH-123,-8.0186
JSCH-124,-8.6040
