File,SAPT Coulomb
NBC1-BzBz_S-3.2,-6.9579
NBC1-BzBz_S-3.3,-4.7859
NBC1-BzBz_S-3.4,-3.1971
NBC1-BzBz_S-3.5,-2.0418
NBC1-BzBz_S-3.6,-1.2082
NBC1-BzBz_S-3.7,-0.6116
NBC1-BzBz_S-3.8,-0.1893
NBC1-BzBz_S-3.9,0.1052
NBC1-BzBz_S-4.0,0.3066
NBC1-BzBz_S-4.1,0.4401
NBC1-BzBz_S-4.2,0.5246
NBC1-BzBz_S-4.5,0.6042
NBC1-BzBz_S-5.0,0.5178
NBC1-BzBz_S-5.5,0.3941
NBC1-BzBz_S-6.0,0.2935
NBC1-BzBz_S-6.5,0.2191
NBC1-BzBz_S-10.0,0.0381
NBC1-BzBz_T-4.3,-9.0340
NBC1-BzBz_T-4.35,-7.9365
NBC1-BzBz_T-4.4,-6.9736
NBC1-BzBz_T-4.5,-5.3910
NBC1-BzBz_T-4.6,-4.1794
NBC1-BzBz_T-4.7,-3.2544
NBC1-BzBz_T-4.8,-2.5491
NBC1-BzBz_T-4.9,-2.0117
NBC1-BzBz_T-5.0,-1.6023
NBC1-BzBz_T-5.1,-1.2900
NBC1-BzBz_T-5.2,-1.0513
NBC1-BzBz_T-5.3,-0.8682
NBC1-BzBz_T-5.4,-0.7270
NBC1-BzBz_T-5.5,-0.6175
NBC1-BzBz_T-5.6,-0.5319
NBC1-BzBz_T-6.0,-0.3298
NBC1-BzBz_T-6.5,-0.2133
NBC1-BzBz_T-7.0,-0.1489
NBC1-BzBz_T-7.5,-0.1072
NBC1-BzBz_T-8.0,-0.0786
NBC1-BzBz_PD34-0.2,-3.1660
NBC1-BzBz_PD34-0.4,-3.0799
NBC1-BzBz_PD34-0.6,-2.9524
NBC1-BzBz_PD34-0.8,-2.7994
NBC1-BzBz_PD34-1.0,-2.6388
NBC1-BzBz_PD34-1.2,-2.4863
NBC1-BzBz_PD34-1.4,-2.3528
NBC1-BzBz_PD34-1.5,-2.2944
NBC1-BzBz_PD34-1.6,-2.2413
NBC1-BzBz_PD34-1.7,-2.1930
NBC1-BzBz_PD34-1.8,-2.1484
NBC1-BzBz_PD34-1.9,-2.1064
NBC1-BzBz_PD34-2.0,-2.0659
NBC1-BzBz_PD34-2.2,-1.9834
NBC1-BzBz_PD34-2.4,-1.8916
NBC1-BzBz_PD34-2.6,-1.7844
NBC1-BzBz_PD34-2.8,-1.6601
NBC1-BzBz_PD34-3.0,-1.5213
NBC1-BzH2S-3.15,-10.3704
NBC1-BzH2S-3.2,-9.0920
NBC1-BzH2S-3.3,-7.0300
NBC1-BzH2S-3.4,-5.4653
NBC1-BzH2S-3.5,-4.2797
NBC1-BzH2S-3.6,-3.3812
NBC1-BzH2S-3.7,-2.6996
NBC1-BzH2S-3.8,-2.1812
NBC1-BzH2S-3.9,-1.7855
NBC1-BzH2S-4.0,-1.4817
NBC1-BzH2S-4.1,-1.2471
NBC1-BzH2S-4.2,-1.0645
NBC1-BzH2S-4.5,-0.7151
NBC1-BzH2S-4.75,-0.5513
NBC1-BzH2S-5.0,-0.4444
NBC1-BzH2S-5.25,-0.3687
NBC1-BzH2S-5.5,-0.3116
NBC1-BzH2S-6.0,-0.2299
NBC1-BzH2S-6.5,-0.1740
NBC1-BzH2S-7.0,-0.1340
NBC1-BzH2S-7.5,-0.1045
NBC1-BzMe-3.15,-4.7408
NBC1-BzMe-3.2,-4.1123
NBC1-BzMe-3.3,-3.1257
NBC1-BzMe-3.4,-2.3753
NBC1-BzMe-3.5,-1.8068
NBC1-BzMe-3.6,-1.3771
NBC1-BzMe-3.7,-1.0531
NBC1-BzMe-3.8,-0.8093
NBC1-BzMe-3.9,-0.6260
NBC1-BzMe-4.0,-0.4882
NBC1-BzMe-4.1,-0.3847
NBC1-BzMe-4.2,-0.3068
NBC1-BzMe-4.4,-0.2033
NBC1-BzMe-4.6,-0.1429
NBC1-BzMe-4.8,-0.1060
NBC1-BzMe-5.0,-0.0822
NBC1-BzMe-5.2,-0.0658
NBC1-BzMe-5.4,-0.0540
NBC1-BzMe-5.6,-0.0449
NBC1-BzMe-6.0,-0.0320
NBC1-MeMe-3.1,-1.4919
NBC1-MeMe-3.15,-1.2506
NBC1-MeMe-3.2,-1.0474
NBC1-MeMe-3.3,-0.7324
NBC1-MeMe-3.4,-0.5099
NBC1-MeMe-3.5,-0.3532
NBC1-MeMe-3.6,-0.2431
NBC1-MeMe-3.7,-0.1661
NBC1-MeMe-3.8,-0.1123
NBC1-MeMe-3.9,-0.0749
NBC1-MeMe-4.0,-0.0490
NBC1-MeMe-4.1,-0.0312
NBC1-MeMe-4.2,-0.0190
NBC1-MeMe-4.3,-0.0108
