File,SAPT Coulomb,Undamped Coulomb
NBC1-BzMe-3.3,-0.004981178034,-0.0001516253
NBC1-BzMe-3.7,-0.001678241222,-0.0002484808999999
NBC1-MeMe-3.2,-0.0016691575880000001,-0.0002059377999999
NBC1-MeMe-3.3,-0.0011671672880000001,-0.0001642947
NBC1-MeMe-3.4,-0.000812586838,-0.0001313992999999
NBC1-MeMe-3.5,-0.000562866584,-0.0001053585
NBC1-MeMe-3.6,-0.00038740902200000004,-8.469570000000004e-05
NBC1-MeMe-3.7,-0.000264700282,-6.825990000000005e-05
NBC1-MeMe-3.8,-0.00017896352599999999,-5.515239999999998e-05
NBC1-MeMe-3.9,-0.00011936213799999999,-4.467220000000002e-05
NBC1-MeMe-4.0,-7.808738e-05,-3.62705e-05
NBC1-MeMe-4.1,-4.9720944e-05,-2.9517299999999982e-05
NBC1-MeMe-4.2,-3.027878e-05,-2.4074699999999985e-05
NBC1-MeMe-4.3,-1.7211096e-05,-1.9677299999999995e-05
NBC1-MeMe-4.4,-8.446186e-06,-1.6115500000000012e-05
NBC1-MeMe-4.6,1.115534e-06,-1.08688e-05
NBC1-MeMe-4.8,4.78086e-06,-7.377299999999998e-06
NBC1-MeMe-5.0,5.896394e-06,-5.033399999999998e-06
NBC1-MeMe-5.4,5.099584000000001e-06,-2.365699999999997e-06
NBC1-MeMe-5.8,3.665326e-06,-1.1122000000000012e-06
NBC1-BzBz_PD32-0.2,-0.010979404352,0.0107836280999999
