File,Undamped Coulomb
NBC1-BzBz_PD32-0.2,0.010783628099999998
NBC1-BzMe-3.3,-0.0001516253000000003
NBC1-BzMe-3.7,-0.00024848089999999974
NBC1-MeMe-3.2,-0.00020593779999999998
NBC1-MeMe-3.3,-0.00016429470000000007
NBC1-MeMe-3.4,-0.0001313992999999999
NBC1-MeMe-3.5,-0.00010535850000000004
NBC1-MeMe-3.6,-8.469570000000004e-05
NBC1-MeMe-3.7,-6.825990000000005e-05
NBC1-MeMe-3.8,-5.515239999999998e-05
NBC1-MeMe-3.9,-4.467220000000002e-05
NBC1-MeMe-4.0,-3.62705e-05
NBC1-MeMe-4.1,-2.9517299999999982e-05
NBC1-MeMe-4.2,-2.4074699999999985e-05
NBC1-MeMe-4.3,-1.9677299999999995e-05
NBC1-MeMe-4.4,-1.6115500000000012e-05
NBC1-MeMe-4.6,-1.08688e-05
NBC1-MeMe-4.8,-7.377299999999998e-06
NBC1-MeMe-5.0,-5.033399999999998e-06
NBC1-MeMe-5.4,-2.3656999999999975e-06
NBC1-MeMe-5.8,-1.1122000000000012e-06
