File,SAPT Coulomb
S22by7-1-0.7,-27.4508
S22by7-1-0.8,-14.7915
S22by7-1-0.9,-8.4599
S22by7-1-1.0,-5.1992
S22by7-1-1.2,-2.3971
S22by7-1-1.5,-1.0331
S22by7-1-2.0,-0.3600
S22by7-2-0.7,-29.8544
S22by7-2-0.8,-19.0881
S22by7-2-0.9,-12.6676
S22by7-2-1.0,-8.8322
S22by7-2-1.2,-4.8719
S22by7-2-1.5,-2.4653
S22by7-2-2.0,-1.0873
S22by7-3-0.7,-91.5955
S22by7-3-0.8,-65.3747
S22by7-3-0.9,-46.3889
S22by7-3-1.0,-33.4534
S22by7-3-1.2,-18.8110
S22by7-3-1.5,-9.2299
S22by7-3-2.0,-3.6064
S22by7-4-0.7,-80.8896
S22by7-4-0.8,-54.0284
S22by7-4-0.9,-36.9683
S22by7-4-1.0,-26.2900
S22by7-4-1.2,-14.9422
S22by7-4-1.5,-7.7996
S22by7-4-2.0,-3.5297
S22by7-5-0.7,-89.1571
S22by7-5-0.8,-61.6784
S22by7-5-0.9,-43.4890
S22by7-5-1.0,-31.7248
S22by7-5-1.2,-18.7656
S22by7-5-1.5,-10.1627
S22by7-5-2.0,-4.6908
S22by7-6-0.7,-84.3469
S22by7-6-0.8,-57.1674
S22by7-6-0.9,-39.1790
S22by7-6-1.0,-27.5327
S22by7-6-1.2,-14.9048
S22by7-6-1.5,-7.1257
S22by7-6-2.0,-2.8109
S22by7-7-0.7,-83.8073
S22by7-7-0.8,-57.0062
S22by7-7-0.9,-39.1540
S22by7-7-1.0,-27.4781
S22by7-7-1.2,-14.6006
S22by7-7-1.5,-6.5308
S22by7-7-2.0,-2.1167
S22by7-8-0.7,-7.4376
S22by7-8-0.8,-2.0215
S22by7-8-0.9,-0.5443
S22by7-8-1.0,-0.1399
S22by7-8-1.2,-0.0035
S22by7-8-1.5,0.0014
S22by7-8-2.0,0.0002
S22by7-9-0.7,-21.9239
S22by7-9-0.8,-8.0217
S22by7-9-0.9,-2.9597
S22by7-9-1.0,-1.1398
S22by7-9-1.2,-0.2123
S22by7-9-1.5,-0.0316
S22by7-9-2.0,-0.0035
S22by7-10-0.7,-8.4453
S22by7-10-0.8,-4.1143
S22by7-10-0.9,-2.0088
S22by7-10-1.0,-0.9989
S22by7-10-1.2,-0.2812
S22by7-10-1.5,-0.0800
S22by7-10-2.0,-0.0257
S22by7-11-0.7,-80.7532
S22by7-11-0.8,-28.9536
S22by7-11-0.9,-9.8574
S22by7-11-1.0,-2.9403
S22by7-11-1.2,0.1788
S22by7-11-1.5,0.2620
S22by7-11-2.0,0.0664
S22by7-12-0.7,-88.4220
S22by7-12-0.8,-32.9343
S22by7-12-0.9,-12.4365
S22by7-12-1.0,-4.8584
S22by7-12-1.2,-0.9494
S22by7-12-1.5,-0.2143
S22by7-12-2.0,-0.0541
S22by7-13-0.7,-121.8987
S22by7-13-0.8,-46.3659
S22by7-13-0.9,-19.1217
S22by7-13-1.0,-9.1074
S22by7-13-1.2,-3.4398
S22by7-13-1.5,-1.5690
S22by7-13-2.0,-0.6242
S22by7-14-0.7,-92.9501
S22by7-14-0.8,-36.9642
S22by7-14-0.9,-14.0687
S22by7-14-1.0,-4.8321
S22by7-14-1.2,0.1278
S22by7-14-1.5,0.6068
S22by7-14-2.0,0.2903
S22by7-15-0.7,-146.8569
S22by7-15-0.8,-59.2073
S22by7-15-0.9,-24.9484
S22by7-15-1.0,-11.5015
S22by7-15-1.2,-3.7393
S22by7-15-1.5,-1.5563
S22by7-15-2.0,-0.6233
S22by7-16-0.7,-10.5236
S22by7-16-0.8,-5.7851
S22by7-16-0.9,-3.3850
S22by7-16-1.0,-2.1200
S22by7-16-1.2,-0.9890
S22by7-16-1.5,-0.4134
S22by7-16-2.0,-0.1347
S22by7-17-0.7,-10.7239
S22by7-17-0.8,-6.5632
S22by7-17-0.9,-4.3823
S22by7-17-1.0,-3.1953
S22by7-17-1.2,-1.9958
S22by7-17-1.5,-1.1453
S22by7-17-2.0,-0.5174
S22by7-18-0.7,-9.4801
S22by7-18-0.8,-5.1597
S22by7-18-0.9,-3.0489
S22by7-18-1.0,-1.9880
S22by7-18-1.2,-1.0648
S22by7-18-1.5,-0.5504
S22by7-18-2.0,-0.2231
S22by7-19-0.7,-12.2280
S22by7-19-0.8,-8.1149
S22by7-19-0.9,-5.8015
S22by7-19-1.0,-4.4374
S22by7-19-1.2,-2.9398
S22by7-19-1.5,-1.7996
S22by7-19-2.0,-0.8624
S22by7-20-0.7,-12.5300
S22by7-20-0.8,-6.7388
S22by7-20-0.9,-3.7099
S22by7-20-1.0,-2.1426
S22by7-20-1.2,-0.8815
S22by7-20-1.5,-0.3838
S22by7-20-2.0,-0.1561
S22by7-21-0.7,-15.6130
S22by7-21-0.8,-9.6446
S22by7-21-0.9,-6.3493
S22by7-21-1.0,-4.5110
S22by7-21-1.2,-2.7504
S22by7-21-1.5,-1.6350
S22by7-21-2.0,-0.7857
S22by7-22-0.7,-31.0889
S22by7-22-0.8,-19.9434
S22by7-22-0.9,-13.1881
S22by7-22-1.0,-9.0960
S22by7-22-1.2,-4.8581
S22by7-22-1.5,-2.3498
S22by7-22-2.0,-0.9867
