File,SAPT Coulomb
S66-1,-8.5686
S66-2,-9.5174
S66-3,-12.7190
S66-4,-13.3765
S66-5,-9.5473
S66-6,-13.2099
S66-7,-13.2244
S66-8,-8.4541
S66-9,-4.3504
S66-10,-5.9704
S66-11,-7.3339
S66-12,-12.9352
S66-13,-8.5034
S66-14,-11.1865
S66-15,-11.7426
S66-16,-7.3711
S66-17,-27.4858
S66-18,-11.5744
S66-19,-12.1167
S66-20,-33.6230
S66-21,-26.4486
S66-22,-32.1580
S66-23,-30.5300
S66-24,-1.6743
S66-25,-3.3789
S66-26,-9.5109
S66-27,-2.6928
S66-28,-5.5206
S66-29,-6.6191
S66-30,-0.8919
S66-31,-3.7879
S66-32,-4.6760
S66-33,-1.7117
S66-34,-1.6489
S66-35,-1.1641
S66-36,-0.6590
S66-37,-1.1438
S66-38,-1.3239
S66-39,-2.3936
S66-40,-1.8137
S66-41,-2.4676
S66-42,-1.9900
S66-43,-2.3496
S66-44,-1.0185
S66-45,-1.2413
S66-46,-2.3315
S66-47,-2.0247
S66-48,-3.0328
S66-49,-2.6259
S66-50,-2.4902
S66-51,-2.1112
S66-52,-4.3946
S66-53,-5.3265
S66-54,-3.3602
S66-55,-3.6796
S66-56,-2.6491
S66-57,-4.2653
S66-58,-4.9644
S66-59,-4.4819
S66-60,-7.7871
S66-61,-1.5740
S66-62,-2.1408
S66-63,-3.6878
S66-64,-2.9908
S66-65,-6.2488
S66-66,-4.6223
