File,SAPT Coulomb,Undamped Coulomb
S66-1,-0.013655092332,-0.0109590604
S66-2,-0.015167118988000002,-0.0119202022
S66-3,-0.02026925278,-0.0168733427
S66-4,-0.02131705793,-0.0169706815999999
S66-5,-0.015214768226,-0.0116624478
S66-6,-0.021051560838,-0.0169611844
S66-7,-0.021074668328,-0.0164916058
S66-8,-0.013472622842000001,-0.0106180377
S66-9,-0.006932884447999999,-0.0047697430999999
S66-10,-0.009514548848,-0.006549406
S66-11,-0.011687449718,-0.0079467441
S66-12,-0.020613793424,-0.0168291484
S66-13,-0.013551188308,-0.0099134056999999
S66-14,-0.01782703013,-0.013526449
S66-15,-0.018713242212,-0.014112646
S66-16,-0.011746732382,-0.0091098268
S66-17,-0.043801920596,-0.0350784871
S66-18,-0.018445195328,-0.0152659886
S66-19,-0.019309415454,-0.0158275068
S66-20,-0.053582285259999994,-0.0438061204
S66-23,-0.0486532186,-0.0394381819
S66-24,-0.002668197966,0.0033465821
S66-29,-0.010548330142,-0.0043966309999999
S66-30,-0.001421349678,0.0025139131
S66-31,-0.006036473198,-0.0022094064
S66-32,-0.00745176712,-0.0036709446999999
S66-33,-0.002727799354,0.0012161422
S66-34,-0.002627720018,0.0003025216
S66-35,-0.001855133042,1.657320000000017e-05
S66-36,-0.0010501955800000001,-0.0001622503
S66-37,-0.001822782556,5.489420000000034e-05
S66-38,-0.002109793518,0.0007315475
S66-40,-0.0028903485940000003,-0.0003030049999999
S66-41,-0.003932416712,-0.0006169078
S66-42,-0.0031713038,0.0011888909
S66-44,-0.0016231019699999999,5.772099999999994e-05
S66-45,-0.0019781605060000002,-0.0002915703
S66-47,-0.0032266024140000004,-0.0014854733
S66-48,-0.004833130736,-0.0044959271
S66-51,-0.003364450544,-0.0029066867999999
S66-59,-0.0071424454780000006,-0.0058172613
S66-60,-0.012409678302,-0.0101194021
S66-66,-0.007366189726,-0.0043514685999999
