File,Undamped Coulomb
S66-1,-0.0109590604
S66-10,-0.006549406
S66-11,-0.0079467441
S66-12,-0.0168291484
S66-13,-0.009913405699999999
S66-14,-0.013526449
S66-15,-0.014112646
S66-16,-0.0091098268
S66-17,-0.0350784871
S66-18,-0.0152659886
S66-19,-0.015827506800000002
S66-2,-0.0119202022
S66-20,-0.0438061204
S66-23,-0.0394381819
S66-24,0.0033465821
S66-29,-0.004396630999999998
S66-3,-0.0168733427
S66-30,0.0025139131
S66-31,-0.0022094064000000003
S66-32,-0.0036709446999999996
S66-33,0.0012161422000000004
S66-34,0.00030252160000000057
S66-35,1.657320000000017e-05
S66-36,-0.00016225030000000041
S66-37,5.489420000000034e-05
S66-38,0.0007315475
S66-4,-0.016970681599999995
S66-40,-0.00030300499999999975
S66-41,-0.0006169078000000012
S66-42,0.0011888909000000005
S66-44,5.7720999999999944e-05
S66-45,-0.0002915703000000001
S66-47,-0.0014854733000000003
S66-48,-0.0044959271
S66-5,-0.011662447800000001
S66-51,-0.0029066867999999997
S66-59,-0.0058172613
S66-6,-0.0169611844
S66-60,-0.0101194021
S66-66,-0.004351468599999998
S66-7,-0.0164916058
S66-8,-0.0106180377
S66-9,-0.0047697430999999995
