File,SAPT Coulomb
SSI-001ARG-005ASP-1,-57.5470
SSI-001ARG-013ARG-1,67.8333
SSI-001ARG-015GLU-1,-76.7855
SSI-001ARG-159VAL-1,-2.3216
SSI-001ASN-026VAL-1,-0.5257
SSI-001ASN-030MET-1,-2.2934
SSI-001ASN-097GLU-1,-17.4449
SSI-001HIE-099GLN-1,-0.3070
SSI-001LEU-071LYS-1,-0.5006
SSI-001LEU-154LEU-1,-0.6547
SSI-001LEU-190THR-1,-0.4960
SSI-001LYS-027ASN-2,-57.6056
SSI-001LYS-027THR-1,-1.1022
SSI-001LYS-027THR-2,-3.0444
SSI-001MET-005GLU-1,-1.8820
SSI-001MET-027VAL-2,-4.0861
SSI-001MET-031VAL-1,-3.7498
SSI-001MET-047GLU-1,-8.6931
SSI-001PRO-046ASP-1,-1.4452
SSI-001SER-030GLU-1,-2.6846
SSI-002ALA-101ILE-1,-0.3107
SSI-002ARG-006GLU-1,-86.4471
SSI-002ARG-020PRO-1,-1.1556
SSI-002ARG-046LEU-1,-0.1217
SSI-002ASN-022GLU-1,-18.8447
SSI-002ASN-026ASP-2,-5.6625
SSI-002ASP-145HIE-1,-3.4015
SSI-002LEU-005GLN-1,-1.4977
SSI-002LEU-006GLN-1,-1.2804
SSI-002LEU-153PHE-1,-1.3170
SSI-002LEU-163LEU-1,-0.5651
SSI-002LYS-006GLU-2,-0.7329
SSI-002LYS-007ILE-1,-0.5184
SSI-002LYS-035GLU-1,-104.4324
SSI-002LYS-075ASN-1,-18.2760
SSI-002LYS-080ARG-1,-0.8117
SSI-002LYS-082TYR-1,-5.3345
SSI-002MET-031TYR-1,-1.1415
SSI-002MET-050ALA-1,-0.6626
SSI-002TRP-012VAL-1,-1.3632
SSI-002TRP-138SER-2,-10.1474
SSI-002TRP-139LEU-1,-0.9045
SSI-002VAL-009TRP-1,-1.0137
SSI-002VAL-042PHE-1,-0.3806
SSI-002VAL-042PHE-2,-1.1348
SSI-002VAL-043HIE-2,-0.8840
SSI-002VAL-046SER-1,-1.7645
SSI-003ALA-007THR-1,-1.6187
SSI-003GLU-006GLN-2,2.2688
SSI-003ILE-062ILE-1,-1.3523
SSI-003ILE-065SER-1,-2.5402
SSI-003ILE-067TYR-1,-0.7431
SSI-003LEU-033LEU-1,-0.8458
SSI-003LEU-054LEU-1,-0.5730
SSI-003LYS-055LEU-1,-0.7817
SSI-003PRO-025ALA-1,-0.5052
SSI-003SER-096ASN-2,-2.6063
SSI-003THR-181VAL-1,-0.5626
SSI-003THR-182GLU-1,-2.0044
SSI-003TRP-163PRO-1,-2.7154
SSI-003TRP-167GLN-1,-1.6797
SSI-003TRP-167GLN-2,-1.7328
SSI-003TYR-028VAL-1,-1.3398
SSI-003TYR-028VAL-2,-1.0909
SSI-003TYR-030GLN-1,-2.1362
SSI-003TYR-054VAL-1,-0.8092
SSI-003TYR-056ALA-1,-1.5201
SSI-003TYR-073CYS-2,-2.0794
SSI-003TYR-074SER-1,-2.1381
SSI-003TYR-096HIE-1,-2.6198
SSI-003VAL-009TYR-1,-1.0097
SSI-003VAL-012GLU-1,-0.6158
SSI-003VAL-036PHE-1,-0.8048
SSI-003VAL-064TYR-1,-0.8611
SSI-003VAL-081THR-1,-0.3527
SSI-003VAL-083PRO-1,-0.6149
SSI-003VAL-118ALA-1,-0.6012
SSI-003VAL-121TYR-1,-0.3809
SSI-004ARG-024THR-1,-13.6445
SSI-004ARG-057ILE-1,-0.8176
SSI-004ARG-057ILE-2,-2.6005
SSI-004ARG-095TYR-1,-0.3963
SSI-004ARG-095TYR-2,-2.3800
SSI-004ASN-009TRP-1,-3.0283
SSI-004ASP-043THR-1,-18.8850
SSI-004ASP-194ARG-1,-98.7326
SSI-004GLN-007ASN-2,-5.6477
SSI-004GLN-056GLU-1,-5.3193
SSI-004GLU-039THR-1,-19.1309
SSI-004LEU-010TYR-1,-1.3216
SSI-004LEU-031TYR-1,-0.4466
SSI-004LEU-032HIE-1,-0.7169
SSI-004LEU-040GLU-1,-1.5332
SSI-004LEU-179LEU-1,-0.9662
SSI-004LEU-180LEU-1,-1.1252
SSI-004LEU-180LEU-2,-0.5104
SSI-004LEU-183LYS-1,-0.5255
SSI-004LYS-030ASP-1,-2.8086
SSI-004LYS-031ILE-1,-0.2725
SSI-004LYS-323PHE-1,-1.0273
SSI-004PHE-116VAL-1,-0.6127
SSI-004PHE-135LEU-2,-1.1093
SSI-004PHE-158LEU-1,-0.7384
SSI-004PHE-160PRO-1,-0.9311
SSI-004PRO-007LEU-1,-0.8147
SSI-004PRO-009TYR-1,-3.5384
SSI-004PRO-026TYR-1,-2.0018
SSI-004PRO-029PHE-1,-1.6724
SSI-004PRO-068VAL-1,-1.1546
SSI-004PRO-074ALA-1,-0.4840
SSI-004PRO-094LEU-1,-0.6827
SSI-004PRO-096TYR-1,-2.1416
SSI-004SER-027VAL-1,-0.5715
SSI-004SER-030MET-1,-1.7618
SSI-004THR-078LEU-1,-1.0073
SSI-004THR-132LYS-1,-10.5902
SSI-004THR-163LEU-1,-0.7009
SSI-004THR-164GLU-1,-15.2500
SSI-004TRP-014ARG-2,-0.8495
SSI-004TRP-016LYS-1,-1.5843
