File,SAPT Coulomb,Undamped Coulomb
UBQ-ala28-asp32,-0.018684875776,-0.0140424073
UBQ-ala46-lys48,-0.038584568078,-0.0371809374
UBQ-arg42-val70,-0.033892632074,-0.0242379064
UBQ-asn25-lys29,-0.016339067136,-0.0127067407999999
UBQ-asp21-leu56,-0.014734929244,-0.0118306373
UBQ-gln2-glu64-small,-0.019009336808,-0.0134126973
UBQ-gln31-gly35,-0.020170926425999998,-0.0139413054999999
UBQ-gln62-ser65,-0.044725104662000005,-0.0308658766
UBQ-glu16-lys29,-0.037636045454000004,-0.031749823
UBQ-glu18-asp21-C,-0.018095714462,-0.0118004412
UBQ-glu18-asp21-N,-0.021246619926,-0.0162738216
UBQ-ile13-leu15,-0.000629161176,-2.395379999999998e-05
UBQ-ile13-lys33,-0.002225968416,0.0003660078999999
UBQ-ile3-leu15-big,-0.021138731852,-0.0165156279
UBQ-ile3-leu15-part1,-0.013910708979999999,-0.0113625501
UBQ-ile3-leu15-part2,-0.013695092194,-0.0112923917
UBQ-ile3-leu15,-0.000673941898,9.423350000000004e-05
UBQ-ile3-leu67,-0.000660874214,-2.313300000000003e-05
UBQ-ile3-val17,-0.0010353749140000002,-2.2339399999999988e-05
UBQ-ile36-leu71,-0.0014178437140000002,-0.0001683902
UBQ-ile44-gly47,-0.000619280732,-0.0002747545
UBQ-ile44-his68-big,-0.000904698074,8.315740000000005e-05
UBQ-ile44-his68-small,-0.000879040792,8.795140000000001e-05
UBQ-ile44-his68,-0.040655636630000005,-0.0307263357
UBQ-ile61-leu67,-0.00084621222,-0.0001003383
UBQ-leu15-ile30,-0.00072669072,-2.5717800000000064e-05
UBQ-leu43-leu50,-0.01936965429,-0.0143454943999999
UBQ-leu50-tyr59,-0.0020234193140000003,0.0031705099
UBQ-leu56-ile61np,-0.001438720136,5.543099999999998e-05
UBQ-leu56-ile61p,-0.008163796536,-0.00734311
UBQ-leu56-tyr59,-0.007528579604,-0.0057505805
UBQ-leu71-leu73,-0.000501830938,-4.40932e-05
UBQ-lys11-glu34,-0.15248999183599998,-0.1490878017
UBQ-lys27-asp52,-0.167933922618,-0.1636367644
UBQ-met1-val17-mono,-0.018700493252,-0.0145174239
UBQ-phe4-thr12,-0.000939917076,0.0002145643
UBQ-phe4-thr14,-0.0017497947600000003,0.0004966028
UBQ-phe45-ile61,-0.002182303228,-0.0030686246
UBQ-pro19-ser57,-0.017601214176,-0.0126780709
UBQ-pro37-gln40,-0.013779394692,-0.0106972053
UBQ-ser57-asn60,-0.01720711195,-0.0125919339
UBQ-thr14-lys33,-0.021616180404,-0.0203844397
UBQ-thr22-asn25,-0.009344668956,-0.0077291362
UBQ-thr22-thr55-big,-0.045113310494000004,-0.0336974684
UBQ-thr22-thr55-small,2.1035784e-05,0.0011264984999999
UBQ-thr22-val26,-0.012380993142,-0.0104921435999999
UBQ-thr55-asp58-backbone,-0.008167780586,-0.0068908007
UBQ-thr55-asp58-sidechain-small,-0.0306692169,-0.0274630582
UBQ-thr55-asp58-sidechain,-0.023714977944,-0.0187958305
UBQ-thr7-ile13,-9.0517616e-05,-5.112239999999997e-05
UBQ-thr7-lys11,-0.016384644668,-0.0123939263
UBQ-thr7-thr9-v2,-0.001280792394,-0.0007109308
UBQ-tyr59-ile61,-0.000783104868,5.637120000000017e-05
UBQ-val17-leu56,-0.00115298407,-0.0001010983
UBQ-val26-leu56,-0.001408600718,-0.0001172983
UBQ-val5-leu15,-0.0013297165280000002,-5.834889999999999e-05
UBQ-val5-leu69,-0.000963980738,8.589399999999993e-05
