File,Undamped Coulomb
A24-1,-0.0157159598999999
A24-10,-0.0052268988
A24-13,-0.0022241487
A24-14,-0.0002453351
A24-15,-0.0004330499
A24-16,-0.0008278366
A24-17,-7.504990000000003e-05
A24-18,-9.144240000000004e-05
A24-19,-7.07747e-05
A24-2,-0.0110782901
A24-23,0.0020646712
A24-5,-0.0059652015
A24-7,-0.0010172153999999
A24-8,-0.0006909986
A24-9,-0.0084496964999999
S22-1,-0.0060988366
S22-10,-0.0002023254999999
S22-11,0.0036327647999999
S22-12,-0.0008675010999999
S22-16,-0.0030124924
S22-17,-0.0046910783
S22-18,-0.0024277556
S22-19,-0.0045763662999999
S22-2,-0.0113321974999999
S22-20,-0.0014857727
S22-21,-0.0078319615
S22-22,-0.0101464463
S22-3,-0.0434768918
S22-4,-0.033503556
S22-5,-0.0412098096
S22-6,-0.0347306821999999
S22-8,-7.687459999999998e-05
S22-9,-0.0009634983
S22by7-1-0.7,-0.0192893042
S22by7-1-0.8,-0.0126697642
S22by7-1-0.9,-0.0086503405
S22by7-1-1.0,-0.0060988366
S22by7-1-1.2,-0.0032740024999999
S22by7-1-1.5,-0.0014867686
S22by7-1-2.0,-0.0005160747
S22by7-10-0.8,1.1955999999999914e-05
S22by7-13-0.8,-0.0149436076999999
S22by7-15-1.5,-0.0022067133
S22by7-17-0.7,-0.0082486089
S22by7-17-0.8,-0.0069328995999999
S22by7-18-1.2,-0.0015796832
S22by7-18-2.0,-0.0003488396999999
S22by7-2-0.7,-0.0312374192
S22by7-2-0.8,-0.0213708258999999
S22by7-2-0.9,-0.0152933138
S22by7-2-1.0,-0.0113321974999999
S22by7-2-1.2,-0.0067340644
S22by7-2-1.5,-0.0035504532
S22by7-2-2.0,-0.0015504809
S22by7-22-0.7,-0.0266792321
S22by7-22-0.8,-0.0185527829
S22by7-22-0.9,-0.0134842514999999
S22by7-22-1.0,-0.0101464315999999
S22by7-22-1.2,-0.006196552
S22by7-22-1.5,-0.0033480221
S22by7-22-2.0,-0.0014652154999999
S22by7-3-0.7,-0.1076513682
S22by7-3-0.8,-0.0771503567999999
S22by7-3-0.9,-0.0571951765
S22by7-3-1.2,-0.0265307165
S22by7-3-1.5,-0.0139226646
S22by7-3-2.0,-0.0056784447
S22by7-4-0.7,-0.0806087839
S22by7-4-0.8,-0.0580694179
S22by7-4-0.9,-0.0434740604999999
S22by7-4-1.0,-0.033503556
S22by7-4-1.2,-0.0211997021999999
S22by7-4-1.5,-0.0119080171
S22by7-4-2.0,-0.0055110903
S22by7-5-0.7,-0.0937009162
S22by7-6-0.9,-0.0461064044999999
S22by7-6-1.0,-0.0347306621
S22by7-6-1.2,-0.020942717
S22by7-8-0.7,-0.0008874128
S22by7-8-0.8,-0.0003768735
S22by7-8-0.9,-0.0001662106999999
S22by7-8-1.0,-7.687459999999998e-05
S22by7-8-1.2,-1.9078799999999987e-05
S22by7-8-1.5,-3.337999999999999e-06
S22by7-8-2.0,-3.987e-07
S22by7-9-0.7,-0.0065534155
S22by7-9-0.8,-0.003410219
S22by7-9-0.9,-0.0017998011
S22by7-9-1.2,-0.0002929329999999
S22by7-9-1.5,-5.81764e-05
S22by7-9-2.0,-5.417999999999998e-06
ACHC-AC-3.2_____,-0.001082499
ACHC-AC-3.4_0.4____,0.0003114106999999
ACHC-AC-3.4_0.8____,0.0016085327999999
ACHC-AC-3.4_1.2____,0.0025947120999999
ACHC-AC-3.4_2.0____,0.0030115379
ACHC-AC-3.4_n0.4____,-0.0009504350999999
ACHC-AC-3.4_n1.2____,-6.43345000000072e-05
ACHC-AC-3.4_n1.6____,-7.001280000000845e-05
ACHC-AC-3.4__0.4___,-0.0020085561999999
ACHC-AC-3.4__0.8___,-0.0033757057
ACHC-AC-3.4__1.2___,-0.0041092634
ACHC-AC-3.4__2.0___,-0.0028723576999999
ACHC-AC-3.4__n0.4___,0.0002199851
ACHC-AC-3.4__n0.8___,0.0009685486
ACHC-AC-3.4__n1.2___,0.0018909256
ACHC-AC-3.4___120__,-0.0015769892999999
ACHC-AC-3.4___150__,-0.0024069608
ACHC-AC-3.4___180__,0.000307869
ACHC-AC-3.4___30__,0.0006398699
ACHC-AC-3.4___60__,0.0024165809
ACHC-AC-3.4___90__,-0.000731185
ACHC-AC-3.6____4_,-0.0002604102
ACHC-AC-3.6____n12_,-0.0015424122999999
ACHC-AC-3.6____n20_,-0.0030714544
ACHC-AC-3.6_____,-0.0004096819
ACHC-AC-3.6_____12,0.0036360815
ACHC-AC-3.6_____4,-0.0002128339999999
ACHC-AC-3.6_____n12,-0.0008493748
ACHC-AC-3.6_____n16,-0.0010368284999999
ACHC-AC-3.6_____n20,-0.0012894486999999
ACHC-AC-3.6_____n4,-0.0005636119
ACHC-AC-3.6_____n8,-0.0007009466999999
ACHC-AC-3.8_____,-0.0001931919
ACHC-AC-4.0_____,-3.365839999999982e-05
