File,Undamped Coulomb,Total Sij, Total Rij,Ground Truth
S22-1,-0.0060988366,0.25704104629218,99.53623137268924,-0.0077918456280000005
S22-2,-0.0113321974999999,0.1901513198963,89.08797760617452,-0.012910234344
S22-3,-0.0434768918,0.7196331593500404,506.98412267078027,-0.051345798952
S22-4,-0.033503556,0.6352654084158201,535.4344611495451,-0.040412450217999996
S22-5,-0.0412098096,0.7719626306978302,2160.035723254531,-0.047472664904000005
S22-6,-0.0347306821999999,0.8582071345154398,1520.6367032275916,-0.042882879942
S22-8,-7.687459999999998e-05,0.1419012785538,115.50462568213035,-0.00024031789599999998
S22-9,-0.0009634983,0.33428994067953,267.233747235334,-0.001799834428
S22-10,-0.0002023254999999,0.3393360874882399,463.4340313222484,-0.001534177974
S22-11,0.0036327647999999,1.1653213415181396,1572.6817926171218,-0.00404859161
S22-12,-0.0008675010999999,1.1375963076619795,1613.9750537431953,-0.006798064196
S22-16,-0.0030124924,0.1627684504559499,197.6456252445715,-0.002824054002
S22-17,-0.0046910783,0.34764558398083,422.7437899047064,-0.0043263595759999995
S22-18,-0.0024277556,0.36481493052131,443.3907189056631,-0.0027751298680000003
S22-19,-0.0045763662999999,0.4291070259926,553.4733041617138,-0.006119819524
S22-20,-0.0014857727,0.5997221663021302,1000.0742567551064,-0.0031880368100000002
S22-21,-0.0078319615,0.8260443989047003,1697.2002361805592,-0.00676810414
S22-22,-0.0101464463,0.8000764113343694,1537.7036622300889,-0.013653817436
